adduser	3.137ubuntu1	adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1	adwaita-icon-theme	46.0-1
apt	2.8.3	apt	2.8.3
at-spi2-common	2.52.0-1build1	at-spi2-core	2.52.0-1build1
autoconf	2.71-3	autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1	automake-1.16	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1	autotools-dev	20220109.1
base-files	13ubuntu10.4	base-files	13ubuntu10.4
base-passwd	3.6.3build1	base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4	bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
bsdutils	1:2.39.3-9ubuntu6.6	util-linux	2.39.3-9ubuntu6.6
bubblewrap	0.9.0-1ubuntu0.1	bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1	build-essential	12.10ubuntu1
bzip2	1.0.8-5.1ubuntu0.1	bzip2	1.0.8-5.1ubuntu0.1
ca-certificates	20260601~24.04.1	ca-certificates	20260601~24.04.1
coreutils	9.4-3ubuntu6.2	coreutils	9.4-3ubuntu6.2
cpp	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
curl	8.5.0-2ubuntu10.13	curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5	dash	0.5.12-6ubuntu5
dbus-bin	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1	dconf	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1	dconf	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1	debconf	1.5.86ubuntu1
debianutils	5.17build1	debianutils	5.17build1
desktop-file-utils	0.27-2build1	desktop-file-utils	0.27-2build1
dictionaries-common	1.29.7	dictionaries-common	1.29.7
diffutils	1:3.10-1build1	diffutils	1:3.10-1build1
dpkg	1.22.6ubuntu6.6	dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6	dpkg	1.22.6ubuntu6.6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
emacsen-common	3.0.5	emacsen-common	3.0.5
ffmpeg	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
file	1:5.45-3build1	file	1:5.45-3build1
findutils	4.9.0-5build1	findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2	fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2	fontconfig	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8	fonts-dejavu	2.37-8
fonts-dejavu-mono	2.37-8	fonts-dejavu	2.37-8
fuse3	3.14.0-5build1	fuse3	3.14.0-5build1
g++	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
gcc	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
gir1.2-atk-1.0:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
gir1.2-atspi-2.0:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
gir1.2-freedesktop:amd64	1.80.1-1	gobject-introspection	1.80.1-1
gir1.2-freedesktop-dev:amd64	1.80.1-1	gobject-introspection	1.80.1-1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.3	gdk-pixbuf	2.42.10+dfsg-3ubuntu3.3
gir1.2-girepository-2.0:amd64	1.80.1-1	gobject-introspection	1.80.1-1
gir1.2-girepository-2.0-dev:amd64	1.80.1-1	gobject-introspection	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
gir1.2-glib-2.0-dev:amd64	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
gir1.2-javascriptcoregtk-4.1:amd64	2.52.6-0ubuntu0.24.04.1	webkit2gtk	2.52.6-0ubuntu0.24.04.1
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1	pango1.0	1.52.1+ds-1build1
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1	librsvg	2.58.0+dfsg-1build1
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7	libsoup3	3.4.4-5ubuntu0.7
