
(xdg-desktop-portal-gtk:4600): Gtk-CRITICAL **: 03:25:08.701: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(xdg-desktop-portal-gtk:4600): Gtk-CRITICAL **: 03:25:23.688: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(xdg-desktop-portal-gtk:4600): Gtk-CRITICAL **: 03:25:25.310: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(xdg-desktop-portal-gtk:4600): Gtk-CRITICAL **: 03:25:25.316: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

** (xdg-desktop-portal-gtk:4600): WARNING **: 03:25:30.198: atk-bridge: Couldn't listen on dbus server: Socket name too long


(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): GLib-GObject-CRITICAL **: 03:25:37.676: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): GLib-GObject-CRITICAL **: 03:25:37.676: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): Atk-CRITICAL **: 03:25:37.676: atk_state_set_contains_state: assertion 'ATK_IS_STATE_SET (set)' failed

(xdg-desktop-portal-gtk:4600): GLib-GObject-CRITICAL **: 03:25:37.676: g_object_unref: assertion 'G_IS_OBJECT (object)' failed
