apt	3.0.3	apt	3.0.3
base-files	13.8+deb13u6	base-files	13.8+deb13u6
base-passwd	3.6.7	base-passwd	3.6.7
bash	5.2.37-2+b9	bash	5.2.37-2
binutils	2.44-3	binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3	binutils	2.44-3
binutils-common:arm64	2.44-3	binutils	2.44-3
bsdutils	1:2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
build-essential	12.12	build-essential	12.12
bzip2	1.0.8-6	bzip2	1.0.8-6
coreutils	9.7-3	coreutils	9.7-3
cpp	4:14.2.0-1	gcc-defaults	1.220
cpp-14	14.2.0-19	gcc-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19	gcc-14	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1	gcc-defaults	1.220
dash	0.5.12-12	dash	0.5.12-12
debconf	1.5.91	debconf	1.5.91
debian-archive-keyring	2025.1	debian-archive-keyring	2025.1
debianutils	5.23.2	debianutils	5.23.2
diffutils	1:3.10-4	diffutils	1:3.10-4
dpkg	1.22.22	dpkg	1.22.22
dpkg-dev	1.22.22	dpkg	1.22.22
findutils	4.10.0-3	findutils	4.10.0-3
fontconfig-config	2.15.0-2.3	fontconfig	2.15.0-2.3
fonts-dejavu-core	2.37-8	fonts-dejavu	2.37-8
fonts-dejavu-mono	2.37-8	fonts-dejavu	2.37-8
g++	4:14.2.0-1	gcc-defaults	1.220
g++-14	14.2.0-19	gcc-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19	gcc-14	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1	gcc-defaults	1.220
gcc	4:14.2.0-1	gcc-defaults	1.220
gcc-14	14.2.0-19	gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19	gcc-14	14.2.0-19
gcc-14-base:arm64	14.2.0-19	gcc-14	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1	gcc-defaults	1.220
gir1.2-freedesktop:arm64	1.84.0-1	gobject-introspection	1.84.0-1
gir1.2-freedesktop-dev:arm64	1.84.0-1	gobject-introspection	1.84.0-1
gir1.2-glib-2.0:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
gir1.2-glib-2.0-dev:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
gir1.2-harfbuzz-0.0:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
girepository-tools:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
grep	3.11-4+b1	grep	3.11-4
gzip	1.13-1	gzip	1.13-1
hostname	3.25	hostname	3.25
icu-devtools	76.1-4	icu	76.1-4
init-system-helpers	1.69~deb13u1	init-system-helpers	1.69~deb13u1
libacl1:arm64	2.3.2-2+b1	acl	2.3.2-2
libapt-pkg7.0:arm64	3.0.3	apt	3.0.3
libasan8:arm64	14.2.0-19	gcc-14	14.2.0-19
libatomic1:arm64	14.2.0-19	gcc-14	14.2.0-19
libattr1:arm64	1:2.5.2-3	attr	1:2.5.2-3
libaudit-common	1:4.0.2-2	audit	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2	audit	1:4.0.2-2
libbinutils:arm64	2.44-3	binutils	2.44-3
libblkid-dev:arm64	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
libblkid1:arm64	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
libbrotli-dev:arm64	1.1.0-2+b7	brotli	1.1.0-2
libbrotli1:arm64	1.1.0-2+b7	brotli	1.1.0-2
libbsd0:arm64	0.12.2-2	libbsd	0.12.2-2
libbz2-1.0:arm64	1.0.8-6	bzip2	1.0.8-6
libbz2-dev:arm64	1.0.8-6	bzip2	1.0.8-6
libc-bin	2.41-12+deb13u3	glibc	2.41-12+deb13u3
libc-dev-bin	2.41-12+deb13u3	glibc	2.41-12+deb13u3
libc6:arm64	2.41-12+deb13u3	glibc	2.41-12+deb13u3
libc6-dev:arm64	2.41-12+deb13u3	glibc	2.41-12+deb13u3
libcairo-gobject2:arm64	1.18.4-1+b1	cairo	1.18.4-1
libcairo2:arm64	1.18.4-1+b1	cairo	1.18.4-1
libcap-ng0:arm64	0.8.5-4+b1	libcap-ng	0.8.5-4
libcap2:arm64	1:2.75-10+deb13u1+b1	libcap2	1:2.75-10+deb13u1
libcc1-0:arm64	14.2.0-19	gcc-14	14.2.0-19
libcrypt-dev:arm64	1:4.4.38-1	libxcrypt	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1	libxcrypt	1:4.4.38-1
libctf-nobfd0:arm64	2.44-3	binutils	2.44-3
libctf0:arm64	2.44-3	binutils	2.44-3
libdb5.3t64:arm64	5.3.28+dfsg2-9	db5.3	5.3.28+dfsg2-9
libdebconfclient0:arm64	0.280	cdebconf	0.280
libdpkg-perl	1.22.22	dpkg	1.22.22
libelf1t64:arm64	0.192-4	elfutils	0.192-4
libexpat1:arm64	2.8.3-1~deb13u1	expat	2.8.3-1~deb13u1
libffi-dev:arm64	3.4.8-2	libffi	3.4.8-2
libffi8:arm64	3.4.8-2	libffi	3.4.8-2
libfontconfig1:arm64	2.15.0-2.3	fontconfig	2.15.0-2.3
libfreetype-dev:arm64	2.13.3+dfsg-1+deb13u1	freetype	2.13.3+dfsg-1+deb13u1
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1	freetype	2.13.3+dfsg-1+deb13u1
libgcc-14-dev:arm64	14.2.0-19	gcc-14	14.2.0-19
libgcc-s1:arm64	14.2.0-19	gcc-14	14.2.0-19
libgdbm-compat4t64:arm64	1.24-2	gdbm	1.24-2
libgdbm6t64:arm64	1.24-2	gdbm	1.24-2
libgio-2.0-dev:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libgio-2.0-dev-bin	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libgirepository-2.0-0:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libglib2.0-0t64:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libglib2.0-bin	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libglib2.0-data	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libglib2.0-dev:arm64	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libglib2.0-dev-bin	2.84.4-3~deb13u3	glib2.0	2.84.4-3~deb13u3
libgmp10:arm64	2:6.3.0+dfsg-3	gmp	2:6.3.0+dfsg-3
libgomp1:arm64	14.2.0-19	gcc-14	14.2.0-19
libgprofng0:arm64	2.44-3	binutils	2.44-3
libgraphite2-3:arm64	1.3.14-2+deb13u1	graphite2	1.3.14-2+deb13u1
libgraphite2-dev:arm64	1.3.14-2+deb13u1	graphite2	1.3.14-2+deb13u1
libgumbo-dev:arm64	0.13.0+dfsg-2	gumbo-parser	0.13.0+dfsg-2
libgumbo3:arm64	0.13.0+dfsg-2	gumbo-parser	0.13.0+dfsg-2
libharfbuzz-cairo0:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libharfbuzz-dev:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libharfbuzz-gobject0:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libharfbuzz-icu0:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libharfbuzz-subset0:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libharfbuzz0b:arm64	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libhogweed6t64:arm64	3.10.1-1	nettle	3.10.1-1
libhwasan0:arm64	14.2.0-19	gcc-14	14.2.0-19
libicu-dev:arm64	76.1-4	icu	76.1-4
libicu76:arm64	76.1-4	icu	76.1-4
libisl23:arm64	0.27-1	isl	0.27-1
libitm1:arm64	14.2.0-19	gcc-14	14.2.0-19
libjansson4:arm64	2.14-2+b3	jansson	2.14-2
libjbig2dec0:arm64	0.20-1+deb13u1	jbig2dec	0.20-1+deb13u1
libjbig2dec0-dev:arm64	0.20-1+deb13u1	jbig2dec	0.20-1+deb13u1
libjpeg-dev:arm64	1:2.1.5-4	libjpeg-turbo	1:2.1.5-4
